Module  ExpectedPeak    MeasuredPeak    oldFactor       Ratio           Sigma           Chi2/ndf        
W1      2092.55         2330            0.122           0.898091        16.3409         0.352777        
W2      2093.37         2345            0.106429        0.892698        16.5886         0.767411        
W3      2094.15         2305.11         0.130762        0.908483        8.37919         2.00713         
W4              2094.87         2268.57         0.923431        104.871         1               
W5      2095.55         2284.93         0.141612        0.917117        21.9568         1.98503         
W6              2096.17         2346.3          0.893395        76.7945         1               
W7      2096.74         2790.02         0.112292        0.751514        1.26136         6.0923e-06      
W8      2097.26         1826.75         0.0993688       1.14809         4.18166         0.06526         
W9      2097.73         1293.05         0.0756716       1.62231         26.953          2.9019          
W10     2098.15         2253.68         0.140246        0.930986        61.7856         4.09849         
W11     2098.51         2319.33         0.148001        0.904791        58.0018         0.387372        
W12     2098.82         2296.54         0.135522        0.913906        55.851          2.76511         
W13     2099.08         2277.97         0.141007        0.92147         73.4099         5.57772         
W14     2099.29         2339.61         0.16106         0.897283        55.2628         3.4943          
W15     2099.45         2332.96         0.155983        0.899909        46.0381         2.32582         
W16     2099.55         2316.71         0.161544        0.906264        33.1753         0.441788        
W17     2099.61         2297.49         0.146012        0.91387         93.0689         4.34359         
W18     2099.61         2344.31         0.155854        0.895617        80.4215         0.0948779       
W19     2099.55         2406.31         0.152695        0.872519        20.2426         1.21177         
W20     2099.45         2355.99         0.153242        0.891112        34.4514         1.00777         
W21     2099.29         2398.52         0.172751        0.875243        25.0198         2.26781         
W22     2099.08         2320.54         0.122219        0.904568        30.8746         1.13924         
W23     2098.82         2315.9          0.143207        0.906267        40.6483         3.92559         
W24     2098.51         2399.76         0.137113        0.874466        43.7992         0.303319        
W25     2098.15         2342.05         0.153909        0.895858        62.1395         3.33491         
W26     2097.73         2314.28         0.147269        0.906428        54.6626         7.23419         
W27     2097.26         2216.8          0.128743        0.946075        36.8946         2.48872         
W28     2096.74         2292.98         0.136485        0.914417        37.8913         0.341614        
W29     2096.17         2325.59         0.149903        0.901352        40.2907         2.21336         
W30     2095.55         2466.64         0.155083        0.849556        21.4597         0.92092         
W31     2094.87         2374.27         0.149428        0.882324        40.1134         2.22356         
W32     2094.15         2361.7          0.134904        0.886714        45.1366         1.93374         
W33     2093.37         2319.36         0.149006        0.902567        6.19816         1.61392         
W34     2092.55         2466.82         0.148147        0.848277        3.37162         6.70837e-06     
W35     2093.37         1910.15         0.10697         1.09592         1.0038          8.20685e-07     
W36     2094.2          2292.5          0.146172        0.913502        27.1034         0.790867        
W37             2094.98         1655.71         1.2653          391.147         1               
W38     2095.7          1121.77         0.0452318       1.86821         46.0107         0.626712        
W39             2096.38         2283.95         0.917873        120.781         2.49496         
W40     2097            2280.64         0.123035        0.919477        44.314          1.57545         
W41     2097.57         2351.51         0.139518        0.89201         13.3052         2.80061         
W42     2098.09         2211.39         0.135098        0.948768        46.376          2.58457         
W43     2098.56         2284.34         0.140891        0.918675        21.6742         1.72765         
W44     2098.98         2292.25         0.12561         0.915684        41.1447         2.79995         
W45     2099.34         2300.74         0.135108        0.912463        67.4787         1.03421         
W46     2099.66         2336.21         0.141952        0.898747        48.9218         1.82763         
W47     2099.92         2316.3          0.138501        0.906584        52.3505         0.473322        
W48     2100.13         2334.09         0.153352        0.899763        39.6067         0.279663        
W49     2100.28         2345.18         0.145394        0.895575        30.5894         0.659793        
W50     2100.39         2334.58         0.155844        0.899687        50.9729         2.39098         
W51     2100.44         2317.56         0.133614        0.906314        44.0854         0.625451        
W52     2100.44         2350.28         0.152836        0.893698        46.9668         0.80538         
W53     2100.39         2368.51         0.138197        0.886799        31.8302         2.45272         
W54     2100.28         2324.15         0.13551         0.903679        37.6781         1.10595         
W55     2100.13         2327.99         0.129823        0.902119        22.5269         0.565476        
W56     2099.92         2338.04         0.121458        0.898154        27.7835         1.00246         
W57     2099.66         2332.5          0.126996        0.900175        91.8921         2.79099         
W58     2099.34         2339.01         0.146014        0.897535        55.3319         1.94612         
W59     2098.98         2308.27         0.129564        0.90933         46.3741         1.66616         
W60     2098.56         2290.01         0.124033        0.9164          57.8471         1.10235         
W61     2098.09         3995.48         0.137691        0.525116        2.70076         5.30145e-06     
W62     2097.57         2337.86         0.142362        0.897218        46.5548         1.73997         
W63     2097            2335.61         0.143331        0.897836        38.3316         1.60074         
W64     2096.38         2385.68         0.12435         0.878732        30.5978         2.8036          
W65     2095.7          2276.79         0.128428        0.920464        30.2745         1.92076         
W66     2094.98         2231.78         0.12818         0.938704        65.5045         1.03782         
W67     2094.2          2312.3          0.149821        0.905679        56.1843         0.801022        
W68     2093.37         2401.08         0.132509        0.871846        28.8173         3.27441         
W69     2094.15         2305.89         0.135356        0.908174        39.1489         1.98816         
W70     2094.98         2014.36         0.120378        1.04002         32.061          2.05388         
W71     2095.75         1698.45         0.0772463       1.23392         10.7583         1.80117         
W72     2096.48         2201.61         0.123115        0.952248        25.6353         2.28282         
W73     2097.15         2309.09         0.129436        0.908217        43.3805         1.17769         
W74     2097.78         2766.01         0.133304        0.758414        3.39289         2.94966e-05     
W75     2098.35         2336.54         0.126187        0.898059        40.4164         2.93098         
W76     2098.87         2315.56         0.126898        0.906421        35.3475         3.26611         
W77     2099.34         2311.72         0.147883        0.90813         64.54           0.745263        
