Module  ExpectedPeak    MeasuredPeak    oldFactor       Ratio           Sigma           Chi2/ndf        
W96     2098.35         1550.01         0.085906        1.35377         50.6965         1.89563         
W97             2097.78         2052.61         1.02201         55.3581         0.683783        
W98     2097.15         2105.25         0.119235        0.996156        24.6831         1.16519         
W99     2096.48         2094.63         0.127109        1.00088         24.4782         1.26624         
W100            2095.75         2061.89         1.01642         69.5094         1               
W101    2094.98         2092.74         0.127663        1.00107         43.2996         3.06627         
W102            2094.15         2133.75         0.981441        67.1635         1               
W103    2094.87         2374.12         0.122           0.882377        43.5095         1.23125         
W104    2095.7          2089.99         0.104014        1.00273         28.8132         1.99524         
W105    2096.48         2152.07         0.113702        0.974166        35.1956         0.599107        
W106    2097.21         2072.8          0.110885        1.01177         67.1242         1.63719         
W107    2097.88         2086.61         0.0980917       1.0054          31.2682         3.56283         
W108    2098.51         2097.61         0.104525        1.00043         41.1948         2.98805         
W109    2099.08         2125.93         0.115104        0.987371        27.0235         0.396135        
W110    2099.6          2097.96         0.113251        1.00078         46.1817         2.3591          
W111    2100.07         2118.83         0.122266        0.991149        26.6303         1.08332         
W112    2100.49         2100.89         0.119422        0.999808        53.4315         0.476728        
W113    2100.86         2103.09         0.136679        0.998938        41.7282         2.93116         
W114    2101.17         2097.22         0.118926        1.00188         57.4461         1.5631          
W115    2101.43         2100.58         0.121413        1.0004          33.5031         3.47241         
W116    2101.64         2098.28         0.120299        1.0016          43.2707         3.07824         
W117    2101.8          2105.11         0.128974        0.998425        39.1885         2.30081         
W118    2101.9          2100.67         0.117009        1.00059         37.4353         1.4761          
W119    2101.95         2103.53         0.129683        0.999249        36.8705         0.74943         
W120    2101.95         2101.41         0.118757        1.00026         43.5962         1.95724         
W121    2101.9          2100.19         0.114995        1.00081         47.0063         1.70289         
W122    2101.8          2099.31         0.12315         1.00118         59.3613         0.192714        
W123    2101.64         2092.51         0.121995        1.00436         40.0243         0.598285        
W124    2101.43         2097.62         0.125237        1.00182         47.1617         1.63884         
W125    2101.17         2105.78         0.11214         0.997812        31.1847         0.220634        
W126    2100.86         2099.58         0.123419        1.00061         46.9164         1.04251         
W127    2100.49         2103.66         0.11948         0.998493        48.0905         2.6382          
W128    2100.07         2080.21         0.105104        1.00955         59.1258         1.12253         
W129    2099.6          2108.14         0.125308        0.995948        30.2023         0.0653955       
W130    2099.08         2085.01         0.120101        1.00675         19.8834         1.93883         
W131    2098.51         2090.98         0.123121        1.0036          49.2096         0.389075        
W132    2097.88         2096.92         0.126075        1.00046         34.0371         1.18264         
W133    2097.21         2160.09         0.121797        0.97089         90.9276         1.72748         
W134    2096.48         2092.08         0.122641        1.0021          40.5314         4.24779         
W135    2095.7          2099.32         0.125387        0.998273        161.161         6.47899         
W136            2094.87         2128.95         0.983993        63.7342         1               
W137    2095.54         2689            0.151338        0.779303        3.44127         1.13745e-05     
W138    2096.37         2292.84         0.107589        0.914312        3.53566         1.6489e-05      
W139    2097.15         2079.86         0.118375        1.00831         37.2463         1.15019         
W140    2097.88         2091.6          0.117192        1.003           42.6404         0.903139        
W141    2098.56         2108.84         0.114785        0.995126        33.4003         0.916266        
W142    2099.18         2113.12         0.126358        0.993402        27.3507         2.00253         
W143    2099.76         2120.75         0.121637        0.990099        22.9002         0.394779        
W144    2100.28         2104.09         0.118881        0.998187        46.5894         1.59935         
W145    2100.75         2096.69         0.11855         1.00193         58.9967         0.601392        
W146    2101.17         2100.99         0.120319        1.00008         41.5952         1.28549         
W147    2101.53         2100.59         0.130912        1.00045         52.618          0.624171        
W148    2101.85         2096.41         0.122923        1.00259         47.3603         0.799582        
W149    2102.11         2101.18         0.118321        1.00044         56.1298         1.24863         
W150    2102.32         2111.17         0.126528        0.995808        37.6871         0.276784        
W151    2102.48         2102.26         0.133381        1.00011         49.6118         0.523109        
W152    2102.58         2104.07         0.125432        0.999295        52.7117         0.447578        
W153    2102.63         2108.51         0.132378        0.997211        38.9123         0.925005        
W154    2102.63         2103.1          0.127549        0.999779        48.7483         1.11544         
W155    2102.58         2106.44         0.119606        0.998167        44.9594         3.61751         
W156    2102.48         2103.02         0.132116        0.999741        39.9221         2.31057         
W157    2102.32         2096.53         0.131761        1.00276         52.4908         1.22577         
W158    2102.11         2107.53         0.129056        0.997427        37.4868         0.972841        
W159    2101.85         2105.98         0.121938        0.998036        38.4517         1.47005         
W160    2101.53         2101.93         0.123823        0.999811        40.3241         5.38748         
W161    2101.17         2105.79         0.128386        0.997803        38.4174         0.545224        
W162    2100.75         2115.53         0.123372        0.993015        27.9069         1.13543         
W163    2100.28         2098.82         0.117872        1.0007          41.1664         0.871179        
W164    2099.76         2096.72         0.124774        1.00145         41.1799         2.22199         
W165    2099.18         2103.75         0.111524        0.997829        38.0382         1.1499          
W166    2098.56         2095.85         0.122974        1.00129         46.3676         0.784991        
W167    2097.88         2102.29         0.132459        0.997903        43.3476         1.77646         
W168    2097.15         2081.39         0.121648        1.00757         61.4576         1.32159         
W169    2096.37         2043.93         0.107487        1.02566         47.2433         0.447359        
W170    2095.54         2082.49         0.117158        1.00627         5.38835         1.39492         
W171    2096.16         1681.91         0.0959375       1.2463          27.5612         4.14769         
W172    2096.99         2097.01         0.117317        0.999993        42.5843         1.68227         
W173    2097.78         2087.53         0.11874         1.00491         18.6392         0.283737        
W174    2098.5          2079.3          0.110293        1.00924         50.1974         0.62287         
W175    2099.18         2100.44         0.11326         0.999401        59.8049         1.85538         
W176    2099.81         2093.9          0.131115        1.00282         50.7804         0.775102        
