Module  ExpectedPeak    MeasuredPeak    oldFactor       Ratio           Sigma           Chi2/ndf        
W1              2092.55         2250            0.930022        88.6942         1               
W2              2093.37         2094            0.999699        200.16          1               
W3              2094.15         2058.42         1.01736         112.823         1               
W4      2094.87         2120.12         0.131806        0.988091        20.6976         6.2682          
W5      2095.55         2070.01         0.127379        1.01234         51.6167         3.39578         
W6      2096.17         2070.64         0.112383        1.01233         24.6021         2.67667         
W7              2096.74         1630.51         1.28594         118.407         1               
W8              2097.26         2070.17         1.01309         61.7869         1.22471         
W9              2097.73         2121.75         0.988679        134.067         1.35742         
W10     2098.15         2084.84         0.124792        1.00638         46.4561         0.273335        
W11     2098.51         2090.65         0.133918        1.00376         33.0379         3.03965         
W12     2098.82         1973.48         0.11992         1.06351         40.551          2.68863         
W13     2099.08         2023.77         0.125331        1.03721         58.3435         5.82786         
W14     2099.29         2090            0.144235        1.00445         45.5194         2.08453         
W15     2099.45         2096.99         0.140087        1.00117         53.9056         1.22578         
W16     2099.55         2098.31         0.14497         1.00059         61.2549         5.27482         
W17     2099.61         2090.03         0.133253        1.00458         56.8036         1.26141         
W18     2099.61         2096.5          0.140485        1.00148         70.3056         0.464932        
W19     2099.55         2079.18         0.133463        1.0098          52.3283         2.87838         
W20     2099.45         2105.58         0.13674         0.99709         28.1699         2.50773         
W21     2099.29         2122.24         0.149757        0.989188        13.6578         0.639826        
W22     2099.08         2095.67         0.111355        1.00163         36.9629         2.45113         
W23     2098.82         2087.5          0.129655        1.00542         116.127         1.11044         
W24             2098.51         2029.64         1.03393         86.2547         1               
W25     2098.15         2123.84         0.140112        0.987902        89.4567         1.21876         
W26     2097.73         2074.75         0.131904        1.01107         62.449          3.16821         
W27     2097.26         2096.31         0.125715        1.00045         43.1402         0.809129        
W28     2096.74         2084.1          0.127714        1.00607         35.9965         2.43929         
W29     2096.17         2171.78         0.135655        0.965184        13.6231         0.591372        
W30             2095.55         2176.32         0.962889        85.1136         1               
W31     2094.87         2259.63         0.140854        0.927087        8.37274         0.281104        
W32             2094.15         2094            1.00007         58.515          1               
W33     2093.37         1091.17         0.113605        1.91846         3.49257         1.9643e-06      
W34     2092.55         2049.97         0.115863        1.02077         2.68417         3.79204e-06     
W35     2093.37         2151.66         0.117231        0.972912        3.72774         1.17861         
W36             2094.2          2008.79         1.04252         87.5165         1               
W37     2094.98         1338.78         0.0682103       1.56484         35.6576         2.24456         
W38     2095.7          1981.89         0.118601        1.05743         199.415         0.867922        
W39             2096.38         2059.66         1.01783         83.5271         1.41285         
W40     2097            2042.1          0.113329        1.02689         45.0761         4.60152         
W41     2097.57         2410.87         0.119488        0.870049        3.09314         1.35698e-06     
W42     2098.09         2111.32         0.129373        0.993737        26.8814         0.617308        
W43     2098.56         2144.38         0.126191        0.978633        13.3614         1.32392         
W44     2098.98         2096.15         0.114167        1.00135         42.251          1.57278         
W45     2099.34         2093.86         0.124248        1.00262         46.7608         1.13722         
W46     2099.66         2102.44         0.126943        0.998675        40.0779         2.28073         
W47     2099.92         2094.96         0.12567         1.00237         39.7111         0.372357        
W48     2100.13         2100.16         0.137848        0.999983        32.582          0.401326        
