Module  ExpectedPeak    MeasuredPeak    oldFactor       Ratio           Sigma           Chi2/ndf        
W1      2092.55         2357            0.122           0.887803        49.5235         2.27478         
W2      2093.37         2342.98         0.106429        0.893467        25.6731         1.60545         
W3      2094.15         2276.25         0.130762        0.920001        26.5534         1.39627         
W4      2094.87         1950            0.138331        1.0743          16.3409         0.352777        
W5      2095.55         2108.81         0.129874        0.993714        40.2732         0.383591        
W6      2096.17         2148.15         0.117496        0.975803        29.2137         2.2215          
W7      2096.74         1856.78         0.0843886       1.12924         22.3342         1.12689         
W8      2097.26         1778.96         0.114084        1.17893         26.3715         2.25593         
W9      2097.73         1889.21         0.122762        1.11038         27.4617         1.95028         
W10     2098.15         2205.61         0.130568        0.951279        74.3262         3.69316         
W11     2098.51         2105.39         0.13391         0.996734        53.0591         0.214569        
W12     2098.82         2119.48         0.123855        0.990254        61.0224         2.42529         
W13     2099.08         2072.25         0.129934        1.01295         58.9988         0.713069        
W14     2099.29         2101.1          0.144516        0.999139        55.8147         4.09993         
W15     2099.45         2093.96         0.14037         1.00262         50.6651         1.98928         
W16     2099.55         2117.8          0.146402        0.991384        65.7666         4.71573         
W17     2099.61         2082.12         0.133436        1.0084          112.515         0.258375        
W18     2099.61         2152.25         0.139585        0.975538        90.8474         1.5968          
W19     2099.55         2130.08         0.13323         0.985669        199.999         1.52209         
W20     2099.45         2097.91         0.136555        1.00073         30.7611         2.459           
W21     2099.29         2112.82         0.151199        0.993595        39.7052         0.581969        
W22     2099.08         2100.19         0.110555        0.999472        24.8078         0.230017        
W23     2098.82         2110.72         0.129784        0.994366        34.0571         3.04575         
W24     2098.51         2531.3          0.137113        0.829026        141.009         0.266321        
W25     2098.15         2090            0.137881        1.0039          35.497          0.566143        
W26     2097.73         2090.02         0.133489        1.00369         40.0905         5.2672          
W27     2097.26         2052.13         0.121801        1.02199         56.0319         3.84004         
W28     2096.74         2156.12         0.124804        0.972459        104.611         0.226972        
W29     2096.17         2121.13         0.135115        0.988233        25.6638         4.6936          
W30     2095.55         2368.1          0.155083        0.884908        1.03264         0.473052        
W31     2094.87         2352.89         0.149428        0.890342        12.8128         0.109053        
W32     2094.15         1971.31         0.134904        1.06231         1.51679         1.9187e-06      
W33     2093.37         2072.02         0.134488        1.01031         65.2826         5.20041         
W34     2092.55         2229.62         0.12567         0.938521        1.12217         5.59676e-09     
W35     2093.37         2019.36         0.117231        1.03665         6.19816         1.61392         
W36     2094.2          2451.68         0.133528        0.85419         180.043         0.242172        
W37     2094.98         3789.5          0.129285        0.552837        3.70357         1.18698e-05     
W38     2095.7          1643.48         0.0845025       1.27516         44.8792         0.229053        
W39     2096.38         2127.82         0.11464         0.985222        28.8295         0.9727          
W40     2097            2048.52         0.113128        1.02367         49.3691         5.94328         
W41     2097.57         2430.18         0.124452        0.863133        1.00509         1.24577e-07     
W42     2098.09         2102.7          0.128177        0.99781         57.8975         2.69989         
W43     2098.56         2124.86         0.129433        0.987624        41.9586         0.512617        
W44     2098.98         2108.16         0.115019        0.995646        35.5501         6.81256         
W45     2099.34         2089.6          0.123281        1.00466         66.6862         0.148107        
W46     2099.66         2107.28         0.127579        0.996383        58.4151         0.57938         
W47     2099.92         2099.28         0.125563        1.0003          45.7506         0.45583         
W48     2100.13         2100.78         0.137981        0.99969         38.6615         0.726498        
W49     2100.28         2094.16         0.130211        1.00293         43.0429         1.00155         
W50     2100.39         2106.68         0.140211        0.997014        57.6165         1.4721          
W51     2100.44         2100.91         0.121096        0.999775        43.6123         0.372767        
W52     2100.44         2075.89         0.136589        1.01183         63.8731         0.812923        
W53     2100.39         2099.61         0.122553        1.00037         25.3084         6.42602         
W54     2100.28         2098.12         0.122458        1.00103         28.1085         2.27504         
W55     2100.13         2092.04         0.117116        1.00386         28.815          1.3513          
W56     2099.92         2101.53         0.109088        0.999232        28.4478         1.786           
W57     2099.66         2171.86         0.114319        0.966757        93.593          1.87205         
W58     2099.34         2143.08         0.131053        0.979594        13.163          1.85538         
W59     2098.98         2093.91         0.117816        1.00242         40.452          1.35828         
W60     2098.56         2053.53         0.113664        1.02193         47.6319         2.91217         
W61     2098.09         1497.37         0.0723038       1.40118         63.5685         3.03386         
W62     2097.57         225439          0.12773         0.5             199.997         0.402906        
W63     2097            2100.16         0.128688        0.998495        32.6793         1.28489         
W64     2096.38         2025.22         0.10927         1.03513         24.8466         0.154481        
W65     2095.7          2117.96         0.118214        0.989489        38.7106         2.20039         
W66     2094.98         2108.38         0.120323        0.993644        77.2372         1.93952         
W67     2094.2          2116.62         0.13569         0.989409        67.65           3.9963          
W68     2093.37         2200            0.132509        0.951532        5.86876         2.18332e-05     
W69     2094.15         1609.18         0.135356        1.30138         3.83099         1.54312e-05     
W70     2094.98         2051.53         0.125195        1.02117         64.2042         1.16208         
W71     2095.75         1776.93         0.0953159       1.17943         47.1451         0.589674        
W72     2096.48         2168.07         0.123115        0.966978        23.8804         2.23775         
W73     2097.15         2107.53         0.117556        0.995079        44.2539         3.29984         
W74     2097.78         2390.59         0.1011          0.877514        2.28345         5.06791e-07     
W75     2098.35         2106.1          0.113323        0.996322        23.9763         2.55883         
W76     2098.87         2111.9          0.115023        0.993831        44.6334         5.50715         
W77     2099.34         2109.45         0.134297        0.995209        51.811          2.10532         
W78     2099.76         2116.15         0.13031         0.992256        20.4171         5.05173         
W79     2100.13         2088.63         0.144899        1.00551         40.8042         3.06617         
W80     2100.44         2112.28         0.141886        0.994396        36.5991         0.6769          
W81     2100.7          2105.48         0.137636        0.997729        43.1235         0.907505        
W82     2100.91         2110.05         0.132335        0.995667        18.8423         2.07537         
W83     2101.07         2100.17         0.128942        1.00043         43.097          1.25742         
W84     2101.17         2103.9          0.132083        0.998705        45.3266         3.31283         
W85     2101.22         2091.94         0.124292        1.00444         49.4315         0.705537        
W86     2101.22         2105.41         0.142087        0.998013        44.6967         0.961476        
W87     2101.17         2115.4          0.121107        0.993273        57.9722         2.7642          
W88     2101.07         2103.98         0.128376        0.998616        39.4679         1.01243         
W89     2100.91         2093.22         0.11058         1.00367         49.9065         3.23813         
W90     2100.7          2103.88         0.124564        0.998489        40.6077         1.92853         
W91     2100.44         2101.32         0.130149        0.999579        64.8925         1.77774         
W92     2100.13         2100.46         0.120071        0.999839        39.77           0.952162        
W93     2099.76         2093.61         0.130294        1.00294         52.5784         0.502828        
W94     2099.34         2080.07         0.133117        1.00926         42.889          1.12965         
W95     2098.87         2082.11         0.11774         1.00805         18.2947         0.936272        
W96     2098.35         2930.33         0.119967        0.71608         1.16846         1.83466e-08     
W97     2097.78         2079.63         0.127426        1.00873         33.3469         0.664445        
W98     2097.15         2093.4          0.119022        1.00179         33.6495         0.679184        
W99     2096.48         2130.9          0.129196        0.983847        23.663          0.415015        
W100    2095.75         2104.42         0.125406        0.995881        6.32464         0.0883021       
W101    2094.98         2101.38         0.128054        0.996952        84.7027         0.30909         
W102            2094.15         2275.64         0.920248        89.72           0.243658        
W103    2094.87         2381.74         0.122           0.879555        50.1615         3.34597         
W104    2095.7          2132.79         0.105855        0.982609        30.4996         0.79792         
W105            2096.48         2227.12         0.94134         71.0537         1.68267         
