Module  ExpectedPeak    MeasuredPeak    oldFactor       Ratio           Sigma           Chi2/ndf        
W1      2092.55         2230            0.113463        0.938364        16.3409         0.352777        
W2      2093.37         2220.01         0.106397        0.942956        33.7385         2.30212         
W3      2094.15         2165.62         0.125603        0.967           25.6687         1.72362         
W4      2094.87         2133.78         0.130237        0.981765        29.9581         1.86262         
W5      2095.55         2096.53         0.12895         0.999531        46.8884         0.847364        
W6      2096.17         1882.01         0.113769        1.11379         199.996         3.14154         
W7      2096.74         2490.2          0.105729        0.841999        1.51536         2.50831e-06     
W8      2097.26         2094.46         0.139889        1.00134         32.2438         0.473455        
W9      2097.73         2113.34         0.134769        0.992612        33.3973         2.19779         
W10     2098.15         2093.16         0.125588        1.00238         41.9427         1.08696         
W11     2098.51         2099.94         0.134422        0.999322        37.8137         2.32745         
W12     2098.82         2146.64         0.127537        0.977725        37.1325         3.81469         
W13     2099.08         2145.16         0.129995        0.97852         20.0278         0.40966         
W14     2099.29         2106.04         0.144876        0.996798        60.3685         3.41227         
W15     2099.45         2093.96         0.140251        1.00262         50.6651         1.98928         
W16     2099.55         2103.44         0.145056        0.998154        60.193          3.55308         
W17     2099.61         234449          0.133864        0.5             199.992         0.914478        
W18     2099.61         2119.03         0.140693        0.990836        115.055         0.773179        
W19     2099.55         2096.31         0.134771        1.00155         91.7712         0.971762        
W20     2099.45         2095.33         0.136342        1.00197         34.6314         2.13988         
W21     2099.29         2072.57         0.148138        1.01289         57.0968         0.961248        
W22     2099.08         2105.13         0.111536        0.997127        28.1914         0.575401        
W23     2098.82         2116.1          0.130358        0.991834        52.8792         2.15626         
W24     2098.51         2150.68         0.122944        0.975745        31.1868         0.521248        
W25     2098.15         2112.63         0.138417        0.993146        36.8022         2.04891         
W26     2097.73         2130.78         0.133365        0.984488        22.0703         1.6353          
W27     2097.26         2147.57         0.125772        0.976575        98.5349         5.2703          
W28     2096.74         2151.77         0.128489        0.974427        21.5868         2.49241         
W29     2096.17         2121.89         0.130932        0.987881        59.71           3.83907         
W30     2095.55         2107.14         0.137536        0.994498        57.2575         8.38278         
W31     2094.87         2200            0.130584        0.952215        6.01692         3.80441e-05     
W32     2094.15         2440            0.127184        0.858258        6.01692         3.80441e-05     
W33     2093.37         3069.98         0.217947        0.681884        39.4937         2.3             
W34     2092.55         2111.05         0.118269        0.991237        3.57653         2.3928e-06      
W35     2093.37         1957.34         0.114055        1.0695          60.4233         2.04949         
W36     2094.2          2138.28         0.130965        0.979383        49.6595         1.57664         
W37     2094.98         1879.84         0.106738        1.11444         30.2276         0.88715         
W38     2095.7          2097.91         0.125412        0.998949        31.8115         0.600667        
W39     2096.38         2145.93         0.114881        0.976909        21.4343         0.203463        
W40     2097            2079.95         0.116376        1.0082          53.6109         2.03846         
W41     2097.57         1844.89         0.103961        1.13696         57.8943         1.21531         
W42     2098.09         2090.73         0.128563        1.00352         32.3734         1.57478         
W43     2098.56         2076.58         0.123494        1.01058         48.894          1.23847         
W44     2098.98         2099.41         0.114321        0.999797        32.3865         0.395665        
W45     2099.34         2109.01         0.124573        0.995416        53.5085         0.525101        
W46     2099.66         2104.48         0.126775        0.997706        55.8462         2.00678         
W47     2099.92         2096.85         0.125967        1.00146         46.6266         0.249138        
W48     2100.13         2099.92         0.137846        1.0001          37.6183         0.426553        
W49     2100.28         2108.31         0.130662        0.996193        31.1961         0.825025        
W50     2100.39         2099.56         0.139785        1.0004          58.1458         1.31193         
W51     2100.44         2101.06         0.1209          0.999705        45.5397         0.559622        
W52     2100.44         2088.11         0.136698        1.00591         77.9015         0.78592         
W53     2100.39         2091.04         0.123066        1.00447         45.8625         0.655262        
W54     2100.28         2096.63         0.122543        1.00174         32.7905         2.63016         
W55     2100.13         2086.1          0.117389        1.00672         35.4369         1.37846         
W56     2099.92         2091.26         0.108739        1.00414         33.1069         4.02242         
W57     2099.66         2097.7          0.113978        1.00093         56.0997         0.511106        
W58     2099.34         2113.89         0.129466        0.99312         19.6319         0.11868         
W59     2098.98         2106.14         0.118729        0.996599        36.3674         4.24219         
W60     2098.56         2099.87         0.115556        0.999375        161.661         0.910809        
W61     2098.09         3050.18         0.106565        0.687859        1.15631         3.49195e-07     
W62     2097.57         1926.8          0.117317        1.08863         59.8073         0.823254        
W63     2097            2226.78         0.140856        0.941717        36.3158         1.72454         
W64     2096.38         2083.94         0.115035        1.00597         23.2404         0.364019        
W65     2095.7          2075.8          0.117954        1.00959         29.1952         2.48867         
W66     2094.98         2059.73         0.116969        1.01711         74.556          1.6533          
W67     2094.2          2284.72         0.136268        0.916611        40.401          1.41369         
W68     2093.37         2187.59         0.119201        0.95693         6.3805          1.66149         
W69     2094.15         2230.42         0.132175        0.9389          4.18754         1.09336         
W70     2094.98         2098.6          0.126659        0.998272        38.0492         2.2556          
W71     2095.75         3927.85         0.133821        0.533562        3.64444         1.72335e-05     
W72     2096.48         2144.08         0.118447        0.977801        66.305          0.665651        
W73     2097.15         2109.18         0.116411        0.9943          37.1472         2.969           
W74     2097.78         2349.6          0.0907942       0.892825        3.10351         8.16396e-06     
W75     2098.35         2077.46         0.116158        1.01006         54.371          0.378151        
W76     2098.87         2097.99         0.114329        1.00042         43.535          4.80669         
W77     2099.34         2097.18         0.134245        1.00103         51.0306         2.73152         
W78     2099.76         2104.64         0.129877        0.997681        26.1426         0.527305        
W79     2100.13         2088.92         0.144717        1.00536         40.5894         2.4759          
W80     2100.44         2098.98         0.141359        1.00069         45.9839         1.32538         
W81     2100.7          2100.69         0.137393        1               43.3762         2.44629         
W82     2100.91         2102.95         0.13179         0.99903         19.4044         0.030293        
