Module  ExpectedPeak    MeasuredPeak    oldFactor       Ratio           Sigma           Chi2/ndf        
W1000   3474.43         3475.88         0.110636        0.999583        66.7116         1.32306         
W1001   3474.85         3475.64         0.108848        0.999773        56.4525         1.52573         
W1002   3475.13         3480.19         0.104665        0.998546        72.7758         2.66904         
W1003   3475.27         3476.91         0.112926        0.999529        80.7382         0.420317        
W1004   3475.27         3476.07         0.101574        0.99977         55.423          0.630142        
W1005   3475.13         3474.78         0.101457        1.0001          61.0959         1.17756         
W1006   3474.85         3474.52         0.0972417       1.00009         63.4791         0.494353        
W1007   3474.43         3474.49         0.105309        0.999981        58.0929         0.479729        
W1008   3473.86         3475.19         0.111361        0.999618        61.6915         0.843913        
W1009   3473.16         3476.08         0.102571        0.999159        66.2633         1.29731         
W1010   3472.31         3472.34         0.101119        0.999993        61.6523         1.14962         
W1011   3471.33         3469.97         0.11749         1.00039         56.5927         0.764962        
W1012   3470.2          3470.97         0.0962793       0.99978         63.4532         1.889           
W1013   3468.94         3465.1          0.0980079       1.00111         111.098         0.795889        
W1014   3467.54         3471.6          0.105891        0.998828        71.7159         1.42222         
W1015   3465.99         3466.57         0.0991595       0.999834        63.5132         1.16206         
W1016   3464.31         3465.77         0.0963748       0.999581        84.2489         1.14382         
W1017   3462.5          3460.98         0.097755        1.00044         52.7089         2.06418         
W1018           3460.54         3449.32         1.00325         64.8622         1.00311         
W1020   3456.23         3931.81         0.129821        0.879041        111.199         1.67295         
W1021   3454.43         4070.95         0.127239        0.848555        51.1693         1.67554         
W1022   3456.65         3505.52         0.100581        0.986058        51.8858         1.7844          
W1023   3458.74         3449.97         0.0998319       1.00254         54.6666         1.52397         
W1024           3460.69         3488.65         0.991985        105.329         1.01181         
W1025   3462.5          3461.31         0.106038        1.00034         45.6433         1.08184         
W1026   3464.18         3461.51         0.103309        1.00077         70.6935         0.518321        
W1027   3465.72         3465.55         0.106763        1.00005         54.5571         1.66631         
W1028   3467.12         3473.55         0.103063        0.998147        59.7124         0.939795        
W1029   3468.38         3468.36         0.0974564       1.00001         59.5957         0.970038        
W1030   3469.5          3467.81         0.105429        1.00049         79.9401         1.51943         
W1031   3470.49         3467.89         0.105097        1.00075         76.7433         1.70934         
W1032   3471.33         3470.2          0.101574        1.00033         64.9321         0.620327        
W1033   3472.03         3472            0.106639        1.00001         66.2843         2.25314         
W1034   3472.6          3468.24         0.101774        1.00126         73.0673         1.18432         
W1035   3473.02         3476.36         0.102826        0.999039        65.4382         1.10022         
W1036   3473.3          3454.37         0.0942665       1.00548         61.3379         0.909177        
W1037   3473.44         3478.81         0.105577        0.998457        68.839          2.8451          
W1038   3473.44         3471.71         0.102648        1.0005          60.8051         0.776458        
W1039   3473.3          3474.85         0.10526         0.999554        55.0897         0.577203        
W1040   3473.02         3473.52         0.105033        0.999857        54.4441         1.02205         
W1041   3472.6          3469.94         0.119996        1.00076         65.0117         1.2374          
W1042   3472.03         3475.32         0.100244        0.999054        62.1453         0.564687        
W1043   3471.33         3474.1          0.10453         0.999202        87.1251         2.22513         
W1044   3470.49         3473.98         0.0993152       0.998994        73.0209         1.10092         
W1045   3469.5          3471.29         0.103656        0.999484        82.7011         0.776714        
W1046   3468.38         3472.32         0.0987951       0.998866        43.6166         1.04965         
W1047   3467.12         3488.05         0.118853        0.994           53.857          0.760618        
W1048   3465.72         3457.45         0.11252         1.00239         70.6909         0.351622        
W1049   3464.18         3490.53         0.106203        0.99245         37.9136         1.87339         
W1050   3462.5          3458.59         0.100484        1.00113         69.0615         1.30624         
W1051   3460.69         3453.12         0.0988233       1.00219         53.4246         0.43767         
W1052   3458.74         3459.93         0.0988408       0.999655        54.978          1.24071         
W1053   3456.65         3431.8          0.104159        1.00724         54.9706         0.818594        
W1054   3454.43         2671.12         0.155925        1.29325         37.2931         1.04135         
W1055   3452.49         4077.11         0.127791        0.846798        97.5709         1.59342         
